,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,"['PER', 'LOC', 'ORG']",176,327,110,0.6500994035785288,0.7482837528604119,0.6957446808510638,0,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",169,335,102,0.6646825396825397,0.7665903890160183,0.7120085015940488,1,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",171,330,107,0.6586826347305389,0.7551487414187643,0.7036247334754796,2,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",172,330,107,0.6573705179282868,0.7551487414187643,0.7028753993610224,3,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",174,327,110,0.6526946107784432,0.7482837528604119,0.697228144989339,4,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",173,332,105,0.6574257425742575,0.7597254004576659,0.7048832271762209,5,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",173,330,107,0.6560636182902585,0.7551487414187643,0.702127659574468,6,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",170,333,104,0.6620278330019881,0.7620137299771167,0.7085106382978723,7,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",170,331,106,0.6606786427145709,0.7574370709382151,0.7057569296375267,8,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",171,332,105,0.6600397614314115,0.7597254004576659,0.7063829787234042,9,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",173,329,108,0.6553784860557769,0.7528604118993135,0.7007454739084132,10,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",171,332,105,0.6600397614314115,0.7597254004576659,0.7063829787234042,11,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",168,335,102,0.6660039761431411,0.7665903890160183,0.7127659574468085,12,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",171,327,110,0.6566265060240963,0.7482837528604119,0.6994652406417112,13,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",170,332,105,0.6613545816733067,0.7597254004576659,0.7071352502662406,14,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",173,327,110,0.654,0.7482837528604119,0.6979722518676628,15,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",167,336,101,0.6679920477137177,0.7688787185354691,0.7148936170212765,16,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",170,333,104,0.6620278330019881,0.7620137299771167,0.7085106382978723,17,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",177,328,109,0.6495049504950495,0.7505720823798627,0.6963906581740977,18,spacy_medium,Danish names,0
0,"['PER', 'LOC', 'ORG']",171,331,106,0.6593625498007968,0.7574370709382151,0.7050053248136315,19,spacy_medium,Danish names,0
