,ents_included,FP,TP,FN,precision,recall,F1_score,k,model,augmenter,i
0,"['PER', 'LOC', 'ORG']",347,281,156,0.44745222929936307,0.6430205949656751,0.5276995305164319,0,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",363,271,166,0.4274447949526814,0.620137299771167,0.5060690943043884,1,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",345,268,169,0.4371941272430669,0.6132723112128147,0.5104761904761905,2,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",350,274,163,0.4391025641025641,0.6270022883295194,0.5164938737040528,3,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",355,272,165,0.43381180223285487,0.6224256292906178,0.5112781954887218,4,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",341,277,160,0.4482200647249191,0.6338672768878718,0.5251184834123223,5,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",349,275,162,0.4407051282051282,0.6292906178489702,0.5183788878416588,6,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",348,274,163,0.4405144694533762,0.6270022883295194,0.5174693106704438,7,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",348,271,166,0.4378029079159935,0.620137299771167,0.5132575757575757,8,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",350,271,166,0.4363929146537842,0.620137299771167,0.5122873345935728,9,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",360,263,174,0.42215088282504015,0.6018306636155606,0.49622641509433957,10,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",353,268,169,0.43156199677938806,0.6132723112128147,0.5066162570888468,11,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",349,275,162,0.4407051282051282,0.6292906178489702,0.5183788878416588,12,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",349,275,162,0.4407051282051282,0.6292906178489702,0.5183788878416588,13,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",346,271,166,0.4392220421393841,0.620137299771167,0.5142314990512333,14,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",349,267,170,0.43344155844155846,0.6109839816933639,0.5071225071225072,15,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",341,279,158,0.45,0.6384439359267735,0.5279091769157995,16,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",351,274,163,0.4384,0.6270022883295194,0.5160075329566854,17,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",348,272,165,0.43870967741935485,0.6224256292906178,0.5146641438032167,18,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",348,271,166,0.4378029079159935,0.620137299771167,0.5132575757575757,19,dacy_large,Danish names,0
0,"['PER', 'LOC', 'ORG']",343,278,159,0.4476650563607085,0.6361556064073226,0.5255198487712665,0,dacy_large,Muslim names,1
0,"['PER', 'LOC', 'ORG']",344,276,161,0.44516129032258067,0.631578947368421,0.522232734153264,1,dacy_large,Muslim names,1
0,"['PER', 'LOC', 'ORG']",349,277,160,0.4424920127795527,0.6338672768878718,0.5211665098777045,2,dacy_large,Muslim names,1
0,"['PER', 'LOC', 'ORG']",339,281,156,0.4532258064516129,0.6430205949656751,0.5316934720908231,3,dacy_large,Muslim names,1
